"CONTACT_NAME","COMPANY_NAME","PRIMARY_ADDRESS","PRIMARY_CITY","PRIMARY_STATE","PRIMARY_ZIP_CODE","PRIMARY_ZIP4","PRIMARY_ZIP10","PRIMARY_CARRIER_ROUTE_CODE","PRIMARY_STATE_CODE","COUNTY_CODE","COUNTY_NAME","MSA_CODE","CBSA_CODE","METRO_MICRO_INDICATOR","CSA_CODE","PHONE","FAX_NUMBER","SELECTED_SIC_CODE","SELECTED_SIC_DESC","FRANCHISE_SPECIALTY_CODE_1","FRANCHISE_SPECIALTY_CODE_2","FRANCHISE_SPECIALTY_CODE_3","FRANCHISE_SPECIALTY_CODE_4","FRANCHISE_SPECIALTY_CODE_5","FRANCHISE_SPECIALTY_CODE_6","INDUSTRY_SPECIFIC_CODE","PRIMARY_SIC_CODE","SECONDARY_SIC_CODE_1","SECONDARY_SIC_CODE_2","SECONDARY_SIC_CODE_3","SECONDARY_SIC_CODE_4","NAICS_CODE","NAICS_DESC","LOCATION_EMPLOYMENT_SIZE_CODE","ACTUAL_LOCATION_EMPLOYMENT_SIZE","CORPORATE_EMPLOYMENT_SIZE_CODE","ACTUAL_CORPORATE_EMPLOYMENT_SIZE","LOCATION_SALES_VOLUME_CODE","ACTUAL_LOCATION_SALES_VOLUME","CORPORATE_SALES_VOLUME_CODE","ACTUAL_CORPORATE_SALES_VOLUME","ASSET_SIZE","LAST_NAME","FIRST_NAME","SALUTATION","GENDER","PROFESSIONAL_TITLE","TITLE_CODE","TITLE_DESC","ETHNICITY_CODE","KEY_CODE","TITLE_ADDRESS","INFOUSA ID","INFOUSA SUBSIDIARY ID","INFOUSA PARENT ID","HQ_BRANCH_CODE","PUBLIC_COMPANY_INDICATOR_CODE","INDIVIDUAL_FIRM_CODE","YEAR_SIC_ADDED","YEAR_FIRST_APPEARED_IN_YELLOW_PAGES","YEAR_ESTABLISHED","TRANSACTION_DATE","TRANSACTION_TYPE","FILLER","CALL_STATUS_CODE","CREDIT_SCORE_CODE","AD_SIZE_CODE","OFFICE_SIZE_CODE","POPULATION_CODE","WORK_AT_HOME_BUSINESS","RADIAL_DISTANCE_FROM_TARGET_ELEMENT","DELIVERY_POINT_BAR_CODE","PRESORT_ENDORSEMENT_LINE","PRESORT_BAG_NUMBER","PRESORT_BUNDLE_NUMBER","PRESORT LINE OF TRAVEL","PRODUCTION_DATE","OBSOLESCENCE DATE","PRODUCTION_DATE1","SOURCE","END OF RECORD MARKER"
,"WHITTIER SELF STORAGE","PO BOX 709","WHITTIER","AK",99693,709,"99693-0709","B002",2,261,,,,,,"907-472-2508",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459400669,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"A MINI STORAGE","3600 EASY ST","FAIRBANKS","AK",99701,7700,"99701-7700","C011",2,90,,,,,,"907-456-3279",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492929047,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"A PLUS MOVING & STORAGE","3651 STONERIDGE ST","FAIRBANKS","AK",99701,7583,"99701-7583","C011",2,90,,,,,,"907-452-2042",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616604013,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"ALASKA MINI STORAGE","1010 WEMBLEY AVE","FAIRBANKS","AK",99701,4311,"99701-4311","C072",2,90,,,,,,"907-458-8181",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256053273,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"ALASKA MINI STORAGE","169 KUTTER RD","FAIRBANKS","AK",99701,3261,"99701-3261","C091",2,90,,,,,,"907-456-2330",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886868363,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"AMERICAN RELOCATION SVC","3411 LATHROP ST # L","FAIRBANKS","AK",99701,7462,"99701-7462","C032",2,90,,,,,,"907-456-3097",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976168096,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"FAIRBANKS SELF STORAGE","550 2ND ST # B","FAIRBANKS","AK",99701,3403,"99701-3403","C051",2,90,,,,,,"907-458-7867",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607041993,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"U-HAUL CO","209 COLLEGE RD","FAIRBANKS","AK",99701,1710,"99701-1710","C072",2,90,,,,,,"907-459-0374",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209998624,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"FORBES STORAGE LLC","605 SAINT NICHOLAS DR","NORTH POLE","AK",99705,8010,"99705-8010","C001",2,90,,,,,,"907-488-3446",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211663810,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"GREAT NORTHERN SHEDS","4598 EASTERN ST","NORTH POLE","AK",99705,6932,"99705-6932","H020",2,90,,,,,,"907-488-2065",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658092127,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
